#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         424        -0.2    0.210094   0.0233471
         425       -0.08    0.209412   0.0233021
         426       -0.08    0.208732   0.0232573
         427        -0.2    0.207775   0.0232226
         428        -0.2    0.206822   0.0231878
         429       -0.28    0.205688   0.0231615
         430       -0.28    0.204558   0.0231352
         431       -0.32    0.203341   0.0231135
         432       -0.36    0.202037   0.0230968
         433       -0.36    0.200739   0.0230799
         434       -0.32    0.199539   0.0230579
         435       -0.36    0.198253   0.0230407
         436       -0.32    0.197064   0.0230185
         437       -0.32    0.195881   0.0229962
         438       -0.28    0.194795   0.0229694
         439       -0.32    0.193622    0.022947
         440       -0.32    0.192455   0.0229245
         441        -0.2    0.191565   0.0228898
         442       -0.24    0.190588   0.0228588
         443       -0.24    0.189616   0.0228278
         444        -0.2    0.188739   0.0227933
         445       -0.24    0.187775   0.0227624
         446       -0.24    0.186816   0.0227316
         447       -0.24    0.185861   0.0227008
         448       -0.16    0.185089   0.0226632
         449        -0.2    0.184232    0.022629
         450       -0.28      0.1832   0.0226022
         451       -0.36    0.181996   0.0225841
         452        -0.4    0.180708   0.0225709
         453        -0.4    0.179426   0.0225574
         454       -0.52    0.177885   0.0225603
         455       -0.52    0.176352   0.0225628
         456       -0.48    0.174912   0.0225591
         457       -0.56    0.173304    0.022567
         458       -0.56    0.171703   0.0225745
         459        -0.6    0.170022   0.0225878
         460       -0.56    0.168435   0.0225944
         461        -0.6    0.166768   0.0226068
         462       -0.56    0.165195   0.0226125
         463       -0.52    0.163715   0.0226121
         464       -0.44    0.162414   0.0226007
         465       -0.36     0.16129     0.02258
         466       -0.24    0.160429    0.022548
         467        -0.2    0.159657   0.0225129
         468        -0.2    0.158889   0.0224779
         469       -0.32    0.157868   0.0224532
         470        -0.4    0.156681   0.0224368
         471       -0.44    0.155414   0.0224249
         472        -0.4    0.154237   0.0224082
         473        -0.4    0.153066   0.0223914
         474       -0.36    0.151983   0.0223703
         475       -0.48    0.150653   0.0223628
         476       -0.48    0.149328    0.022355
         477       -0.52    0.147925   0.0223521
         478       -0.52    0.146527    0.022349
         479       -0.56    0.145052    0.022351
         480       -0.52    0.143667   0.0223473
         481       -0.52    0.142287   0.0223434
         482       -0.48    0.140996   0.0223343
         483       -0.44    0.139793   0.0223205
         484       -0.48    0.138512    0.022311
         485       -0.32    0.137567   0.0222851
         486       -0.36    0.136543   0.0222627
         487        -0.4    0.135441   0.0222442
         488       -0.44    0.134262   0.0222299
         489       -0.44    0.133088   0.0222154
         490       -0.52    0.131755     0.02221
         491        -0.6    0.130265   0.0222147
         492        -0.6     0.12878   0.0222191
         493       -0.64    0.127221   0.0222287
         494        -0.6    0.125749   0.0222324
         495       -0.56    0.124364   0.0222306
         496        -0.6    0.122903   0.0222337
         497       -0.64    0.121368   0.0222419
         498       -0.56        0.12   0.0222393
         499       -0.52    0.118717   0.0222317
         500       -0.56     0.11736   0.0222286
         501       -0.56    0.116008   0.0222253
         502       -0.64    0.114502    0.022232
         503        -0.6    0.113082   0.0222331
         504        -0.6    0.111667    0.022234
         505       -0.68    0.110099   0.0222452
         506       -0.68    0.108538   0.0222559
         507       -0.64    0.107061    0.022261
         508       -0.72    0.105433   0.0222766
         509       -0.64    0.103969   0.0222809
         510       -0.64     0.10251   0.0222849
         511       -0.56    0.101213    0.022279
         512       -0.64   0.0997656   0.0222825
         513        -0.6   0.0984016   0.0222808
         514        -0.6   0.0970428   0.0222788
         515        -0.6   0.0956893   0.0222766
         516        -0.6   0.0943411   0.0222742
         517       -0.68   0.0928433   0.0222814
         518       -0.56    0.091583    0.022274
         519        -0.4   0.0906358   0.0222512
         520       -0.48   0.0895385   0.0222355
         521       -0.36   0.0886756   0.0222095
         522       -0.32   0.0878927   0.0221808
         523       -0.28   0.0871893   0.0221495
         524       -0.24   0.0865649   0.0221161
         525       -0.16   0.0860952   0.0220789
         526       -0.12   0.0857034   0.0220404
         527       -0.04   0.0854649   0.0219999
         528       -0.12   0.0850758   0.0219617
         529       -0.16   0.0846125    0.021925
         530       -0.24       0.084   0.0218922
         531       -0.24   0.0833898   0.0218595
         532       -0.28   0.0827068   0.0218291
         533       -0.32   0.0819512   0.0218012
         534       -0.32   0.0811985   0.0217734
         535        -0.4   0.0802991   0.0217512
         536       -0.36   0.0794776   0.0217261
         537       -0.28   0.0788082    0.021696
         538       -0.32   0.0780669   0.0216683
         539       -0.32   0.0773284   0.0216407
         540       -0.28   0.0766667   0.0216108
         541       -0.24   0.0760813   0.0215787
         542       -0.32   0.0753506   0.0215513
         543       -0.36   0.0745488   0.0215265
         544       -0.28   0.0738971   0.0214968
         545       -0.28   0.0732477   0.0214672
         546       -0.32   0.0725275   0.0214399
         547       -0.24   0.0719561   0.0214083
         548       -0.16   0.0715328   0.0213735
         549        -0.2   0.0710383   0.0213403
         550       -0.24   0.0704727   0.0213089
         551       -0.36   0.0696915   0.0212846
         552       -0.32   0.0689855   0.0212577
         553        -0.2   0.0684991   0.0212249
         554       -0.36   0.0677256   0.0212006
         555        -0.4   0.0668829   0.0211792
         556       -0.48   0.0658993   0.0211639
         557       -0.44    0.064991   0.0211454
         558       -0.48   0.0640143     0.02113
         559       -0.52   0.0629696   0.0211181
         560       -0.48       0.062   0.0211026
         561       -0.52   0.0609626   0.0210905
         562       -0.56   0.0598577   0.0210819
         563       -0.48   0.0588988   0.0210662
         564        -0.4   0.0580851   0.0210446
         565       -0.32   0.0574159    0.021018
         566       -0.24   0.0568905   0.0209874
         567       -0.36   0.0561552   0.0209632
         568       -0.32    0.055493   0.0209368
         569       -0.08   0.0552548   0.0209014
         570       -0.28   0.0546667    0.020873
         571        -0.4   0.0538704   0.0208516
         572       -0.56   0.0527972   0.0208427
         573       -0.56   0.0517277   0.0208338
         574       -0.52   0.0507317   0.0208213
         575       -0.56   0.0496696   0.0208121
         576       -0.68   0.0484028   0.0208145
         577        -0.8   0.0469324   0.0208303
         578       -0.88   0.0453287   0.0208559
         579       -0.76   0.0439378   0.0208662
         580        -0.6   0.0428276   0.0208598
         581       -0.48   0.0419277   0.0208433
         582        -0.6   0.0408247   0.0208366
         583       -0.64   0.0396569   0.0208336
         584       -0.72   0.0383562   0.0208385
         585       -0.76   0.0369915   0.0208475
         586       -0.68   0.0357679   0.0208478
         587       -0.68   0.0345486   0.0208479
         588       -0.68   0.0333333   0.0208478
