#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         636          36     68.7935      1.4686
         637       46.24     68.7581     1.46672
         638       57.76     68.7408     1.46452
         639          64     68.7334     1.46225
         640          64      68.726     1.45998
         641       77.44     68.7396     1.45777
         642       77.44     68.7531     1.45556
         643       77.44     68.7667     1.45336
         644       92.16      68.803     1.45156
         645       70.56     68.8057     1.44931
         646       84.64     68.8302     1.44727
         647       92.16     68.8663     1.44549
         648       84.64     68.8906     1.44346
         649         100     68.9386     1.44203
         650         100     68.9863     1.44061
         651         100      69.034     1.43918
         652         100     69.0815     1.43776
         653         100     69.1288     1.43633
         654         100      69.176     1.43491
         655         100     69.2231     1.43349
         656         100       69.27     1.43208
         657         100     69.3168     1.43066
         658         100     69.3634     1.42925
         659         100     69.4099     1.42783
         660         100     69.4562     1.42642
         661         100     69.5025     1.42501
         662         100     69.5485      1.4236
         663         100     69.5944      1.4222
         664         100     69.6402     1.42079
         665         100     69.6859     1.41939
         666         100     69.7314     1.41799
         667         100     69.7768     1.41659
         668         100      69.822     1.41519
         669         100     69.8671     1.41379
         670         100     69.9121      1.4124
         671         100      69.957       1.411
         672         100     70.0017     1.40961
         673         100     70.0462     1.40822
         674         100     70.0907     1.40683
         675         100      70.135     1.40545
         676         100     70.1792     1.40406
         677         100     70.2232     1.40268
         678         100     70.2671      1.4013
         679         100     70.3109     1.39992
         680         100     70.3546     1.39854
         681         100     70.3981     1.39716
         682         100     70.4415     1.39579
         683         100     70.4848     1.39442
         684         100      70.528     1.39305
         685         100      70.571     1.39168
         686         100     70.6139     1.39031
         687         100     70.6567     1.38894
         688         100     70.6993     1.38758
         689         100     70.7418     1.38622
         690       84.64      70.762     1.38435
         691       92.16     70.7929      1.3827
         692         100     70.8351     1.38134
         693         100     70.8772     1.37999
         694         100     70.9192     1.37864
         695         100      70.961     1.37729
         696         100     71.0028     1.37594
         697         100     71.0444      1.3746
         698         100     71.0858     1.37325
         699         100     71.1272     1.37191
         700         100     71.1685     1.37057
         701         100     71.2096     1.36924
         702         100     71.2506      1.3679
         703         100     71.2915     1.36656
         704         100     71.3323     1.36523
         705         100     71.3729      1.3639
         706         100     71.4135     1.36257
         707         100     71.4539     1.36124
         708         100     71.4942     1.35992
         709         100     71.5344     1.35859
         710         100     71.5745     1.35727
         711         100     71.6145     1.35595
         712         100     71.6544     1.35463
         713         100     71.6941     1.35332
         714         100     71.7338       1.352
         715         100     71.7733     1.35069
         716         100     71.8127     1.34938
         717         100     71.8521     1.34807
         718         100     71.8913     1.34676
         719         100     71.9303     1.34545
         720         100     71.9693     1.34415
         721         100     72.0082     1.34285
         722         100      72.047     1.34155
         723         100     72.0856     1.34025
         724         100     72.1242     1.33895
         725         100     72.1626     1.33766
         726         100      72.201     1.33636
         727         100     72.2392     1.33507
         728       70.56     72.2369     1.33324
         729       70.56     72.2346     1.33141
         730       70.56     72.2323     1.32959
         731       57.76     72.2125     1.32792
         732       51.84     72.1847      1.3264
         733       40.96     72.1421     1.32527
         734       46.24     72.1068     1.32394
         735          64     72.0958     1.32218
         736       57.76     72.0763     1.32053
         737       57.76     72.0569     1.31888
         738          64      72.046     1.31714
         739       51.84     72.0186     1.31564
         740       57.76     71.9994       1.314
         741          64     71.9886     1.31227
         742       92.16     72.0157     1.31079
         743       84.64     72.0327     1.30913
         744       92.16     72.0598     1.30765
         745         100     72.0973     1.30644
         746         100     72.1347     1.30522
         747         100      72.172       1.304
         748         100     72.2092     1.30279
         749         100     72.2463     1.30158
         750         100     72.2833     1.30037
         751         100     72.3202     1.29916
         752         100      72.357     1.29796
         753         100     72.3937     1.29675
         754         100     72.4303     1.29555
         755         100     72.4669     1.29435
         756         100     72.5033     1.29315
         757         100     72.5396     1.29195
         758         100     72.5758     1.29075
         759         100      72.612     1.28956
         760         100      72.648     1.28837
         761         100     72.6839     1.28717
         762         100     72.7198     1.28598
         763         100     72.7555     1.28479
         764         100     72.7912     1.28361
         765         100     72.8268     1.28242
         766         100     72.8622     1.28124
         767         100     72.8976     1.28006
         768         100     72.9329     1.27888
         769         100     72.9681      1.2777
         770         100     73.0032     1.27652
         771         100     73.0382     1.27535
         772         100     73.0732     1.27417
         773         100      73.108       1.273
         774         100     73.1427     1.27183
         775         100     73.1774     1.27066
         776         100      73.212     1.26949
         777         100     73.2464     1.26833
         778         100     73.2808     1.26716
         779         100     73.3151       1.266
         780         100     73.3493     1.26484
         781         100     73.3835     1.26368
         782         100     73.4175     1.26252
         783         100     73.4514     1.26137
         784         100     73.4853     1.26021
         785         100     73.5191     1.25906
         786         100     73.5528     1.25791
         787         100     73.5864     1.25676
         788         100     73.6199     1.25561
         789         100     73.6533     1.25446
         790         100     73.6867     1.25332
         791         100     73.7199     1.25218
         792         100     73.7531     1.25103
         793         100     73.7862     1.24989
         794         100     73.8192     1.24876
         795         100     73.8522     1.24762
         796         100      73.885     1.24648
         797         100     73.9178     1.24535
         798         100     73.9505     1.24422
         799         100     73.9831     1.24309
         800         100     74.0156     1.24196
         801         100      74.048     1.24083
         802         100     74.0804     1.23971
         803         100     74.1127     1.23858
         804         100     74.1449     1.23746
         805         100      74.177     1.23634
         806         100      74.209     1.23522
         807         100      74.241     1.23411
         808         100     74.2729     1.23299
         809         100     74.3047     1.23188
         810         100     74.3364     1.23076
         811         100      74.368     1.22965
         812         100     74.3996     1.22854
         813         100     74.4311     1.22744
         814         100     74.4625     1.22633
         815         100     74.4938     1.22523
         816         100     74.5251     1.22412
         817         100     74.5563     1.22302
         818         100     74.5874     1.22192
         819         100     74.6184     1.22082
         820         100     74.6494     1.21973
         821         100     74.6802     1.21863
         822         100      74.711     1.21754
         823         100     74.7418     1.21645
         824         100     74.7724     1.21536
         825         100      74.803     1.21427
         826         100     74.8335     1.21318
         827         100     74.8639      1.2121
         828         100     74.8943     1.21101
         829         100     74.9246     1.20993
         830         100     74.9548     1.20885
         831         100     74.9849     1.20777
         832         100      75.015     1.20669
         833         100      75.045     1.20562
         834         100     75.0749     1.20454
         835         100     75.1048     1.20347
         836         100     75.1345      1.2024
         837         100     75.1643     1.20133
         838         100     75.1939     1.20026
         839         100     75.2235      1.1992
         840         100      75.253     1.19813
         841         100     75.2824     1.19707
         842         100     75.3117     1.19601
         843         100      75.341     1.19494
         844         100     75.3702     1.19389
         845         100     75.3994     1.19283
         846         100     75.4285     1.19177
         847         100     75.4575     1.19072
         848         100     75.4864     1.18967
         849         100     75.5153     1.18862
         850         100     75.5441     1.18757
         851         100     75.5728     1.18652
         852         100     75.6015     1.18547
         853         100     75.6301     1.18443
         854         100     75.6586     1.18338
         855         100     75.6871     1.18234
         856         100     75.7155      1.1813
         857         100     75.7439     1.18026
         858         100     75.7721     1.17923
         859         100     75.8003     1.17819
         860         100     75.8285     1.17716
         861         100     75.8565     1.17613
         862         100     75.8845     1.17509
         863         100     75.9125     1.17406
         864         100     75.9404     1.17304
