#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          396     0.528537      5.00578     0.398781
          397      1.08788      4.99591     0.397897
          398      1.08788      4.98609     0.397018
          399      1.08788      4.97632     0.396142
          400      1.06142      4.96653     0.395271
          401      1.06142       4.9568     0.394405
          402      1.06142      4.94711     0.393542
          403      1.06142      4.93746     0.392682
          404     0.762086      4.92713     0.391846
          405     0.762086      4.91684     0.391012
          406      1.64141      4.90878     0.390131
          407      2.15343      4.90201      0.38923
          408      3.15581      4.89773     0.388299
          409      1.70967      4.88993     0.387427
          410      1.70967      4.88218     0.386558
          411      1.42827      4.87377     0.385708
          412      1.63584      4.86591     0.384851
          413      1.63584      4.85809     0.383998
          414      1.63584      4.85031     0.383148
          415      2.40162      4.84441     0.382269
          416      2.40812      4.83855     0.381394
          417       1.6845      4.83099     0.380554
          418       1.6845      4.82346     0.379717
          419      1.73321      4.81609     0.378881
          420      1.73321      4.80875      0.37805
          421      1.73321      4.80144     0.377221
          422      1.47448      4.79356     0.376409
          423      1.58302      4.78597     0.375595
          424      1.78513      4.77889     0.374775
          425      1.78513      4.77184     0.373958
          426      1.78513      4.76483     0.373145
          427      1.78513      4.75786     0.372336
          428      1.78513      4.75091      0.37153
          429      1.78513        4.744     0.370727
          430     0.931741      4.73513      0.36997
          431     0.847461      4.72611     0.369221
          432      1.47648      4.71859     0.368442
          433      1.58875      4.71136     0.367661
          434      1.58875      4.70417     0.366884
          435      1.87632      4.69766     0.366097
          436      2.12207      4.69176     0.365304
          437      1.82088      4.68519     0.364526
          438     0.142597      4.67482     0.363841
          439      1.03769      4.66653     0.363106
          440      1.03769      4.65828     0.362373
          441      1.03769      4.65007     0.361644
          442      1.03769       4.6419     0.360917
          443      1.03769      4.63377     0.360194
          444      1.03769      4.62567     0.359473
          445      1.03769       4.6176     0.358755
          446      1.03769      4.60958     0.358039
          447      1.03769      4.60159     0.357327
          448      1.03769      4.59363     0.356617
          449     0.867503      4.58533     0.355919
          450     0.867503      4.57707     0.355223
          451     0.867503      4.56884      0.35453
          452      1.69878       4.5625     0.353802
          453      1.87352      4.55656      0.35307
          454      1.87352      4.55065     0.352341
          455      1.87352      4.54477     0.351615
          456      1.57756      4.53826     0.350903
          457     0.758557      4.52999     0.350232
          458     0.758557      4.52175     0.349564
          459     0.758557      4.51355     0.348898
          460     0.718769      4.50531     0.348236
          461     0.718769      4.49709     0.347577
          462     0.718769      4.48891      0.34692
          463     0.916814       4.4812     0.346256
          464      1.71073      4.47523      0.34556
