#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         287     2.74212     2.74223 3.80833e-05
         288     2.74211     2.74223 3.79533e-05
         289     2.74209     2.74222 3.78248e-05
         290     2.74208     2.74222 3.76974e-05
         291     2.74207     2.74222 3.75716e-05
         292     2.74206     2.74222 3.74472e-05
         293     2.74205     2.74222  3.7324e-05
         294     2.74204     2.74222 3.72022e-05
         295     2.74203     2.74222  3.7082e-05
         296     2.74202     2.74222  3.6963e-05
         297     2.74201     2.74222 3.68453e-05
         298     2.74199     2.74222 3.67294e-05
         299     2.74199     2.74222 3.66146e-05
         300     2.74198     2.74222 3.65011e-05
         301     2.74197     2.74222 3.63892e-05
         302     2.74196     2.74222 3.62788e-05
         303     2.74195     2.74221 3.61698e-05
         304     2.74193     2.74221 3.60628e-05
         305     2.74192     2.74221 3.59577e-05
         306      2.7419     2.74221 3.58548e-05
         307     2.74188     2.74221 3.57541e-05
         308     2.74186     2.74221 3.56559e-05
         309     2.74185     2.74221 3.55596e-05
         310     2.74184     2.74221  3.5465e-05
         311     2.74182     2.74221 3.53727e-05
         312     2.74181      2.7422  3.5282e-05
         313      2.7418      2.7422 3.51935e-05
         314     2.74178      2.7422 3.51073e-05
         315     2.74177      2.7422 3.50226e-05
         316     2.74176      2.7422  3.4939e-05
         317     2.74175      2.7422 3.48572e-05
         318     2.74175      2.7422 3.47765e-05
         319     2.74173      2.7422 3.46982e-05
         320     2.74172     2.74219 3.46215e-05
         321     2.74171     2.74219 3.45464e-05
         322      2.7417     2.74219 3.44733e-05
         323      2.7417     2.74219 3.44007e-05
         324     2.74169     2.74219 3.43296e-05
         325     2.74168     2.74219   3.426e-05
         326     2.74167     2.74218  3.4191e-05
         327     2.74167     2.74218  3.4123e-05
         328     2.74166     2.74218 3.40561e-05
         329     2.74165     2.74218 3.39901e-05
         330     2.74165     2.74218 3.39249e-05
         331     2.74165     2.74218 3.38605e-05
         332     2.74164     2.74217 3.37966e-05
         333     2.74164     2.74217 3.37332e-05
         334     2.74164     2.74217 3.36704e-05
         335     2.74164     2.74217 3.36075e-05
         336     2.74164     2.74217 3.35446e-05
         337     2.74164     2.74217  3.3481e-05
         338     2.74165     2.74217 3.34173e-05
         339     2.74165     2.74216 3.33527e-05
         340     2.74166     2.74216 3.32869e-05
         341     2.74167     2.74216 3.32207e-05
