# DISTANCE:     AVE_GOFR:        ERROR:
    0.884913 0.000718357 0.000295121
    0.910562    0.023378  0.00269622
    0.936212    0.174063  0.00345659
    0.961861    0.586718  0.00894535
    0.987511     1.23926   0.0194121
     1.01316     1.89747   0.0211582
     1.03881     2.36556   0.0206037
     1.06446     2.56358    0.016246
     1.09011     2.53453   0.0146109
     1.11576     2.37784   0.0182016
     1.14141       2.152   0.0147626
     1.16706     1.94027   0.0103223
     1.19271     1.74649  0.00889807
     1.21836     1.53472  0.00990533
     1.24401     1.37596   0.0139045
     1.26966     1.25174   0.0162812
     1.29531     1.12681   0.0150771
     1.32096     1.02834   0.0166884
     1.34661    0.940204   0.0117849
     1.37226    0.863846  0.00836916
     1.39791    0.814506   0.0119069
     1.42355    0.777177   0.0106965
      1.4492    0.735991  0.00918356
     1.47485    0.702083  0.00848791
      1.5005    0.680555  0.00888505
     1.52615    0.672816   0.0116152
      1.5518    0.670322  0.00974066
     1.57745    0.665639  0.00901885
      1.6031    0.669748  0.00581166
     1.62875    0.691622  0.00559805
      1.6544    0.702227  0.00562366
     1.68005    0.741347  0.00293781
      1.7057    0.780035  0.00805172
