#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
          429    -0.548156    -0.466268    0.0133146
          430    -0.548156    -0.466458     0.013285
          431    -0.473117    -0.466474    0.0132541
          432    -0.473117    -0.466489    0.0132234
          433    -0.473117    -0.466504    0.0131929
          434    -0.473117     -0.46652    0.0131624
          435    -0.473117    -0.466535    0.0131321
          436    -0.320515      -0.4662    0.0131063
          437    -0.399885    -0.466048    0.0130771
          438    -0.399885    -0.465897    0.0130481
          439    -0.399885    -0.465747    0.0130192
          440    -0.163882    -0.465061    0.0130077
          441     -1.02431    -0.466329      0.01304
          442     -1.02431    -0.467591    0.0130715
          443     -0.17191    -0.466924    0.0130591
          444     -0.17191    -0.466259    0.0130466
          445     -0.17191    -0.465598     0.013034
          446     -0.17191    -0.464939    0.0130214
          447     -0.17191    -0.464284    0.0130088
          448     -0.17191    -0.463631    0.0129961
          449     -0.17191    -0.462981    0.0129834
          450     -0.17191    -0.462335    0.0129706
          451    -0.167007     -0.46168    0.0129584
          452    -0.167007    -0.461028    0.0129461
          453    -0.167007    -0.460379    0.0129338
          454    -0.167007    -0.459733    0.0129215
          455    -0.167007    -0.459089    0.0129091
          456    -0.167007    -0.458449    0.0128967
          457    -0.184455    -0.457849    0.0128824
          458    -0.646256     -0.45826    0.0128608
          459    -0.646256     -0.45867    0.0128393
          460    -0.646256    -0.459078    0.0128178
          461    -0.637059    -0.459464    0.0127958
          462    -0.637059    -0.459848    0.0127739
          463    -0.647448    -0.460254    0.0127527
          464    -0.647448    -0.460657    0.0127316
          465    -0.647448    -0.461059    0.0127105
          466    -0.647448    -0.461459    0.0126895
          467    -0.192765    -0.460883    0.0126754
          468    -0.192765     -0.46031    0.0126612
          469    -0.266947    -0.459898    0.0126409
          470    -0.166171    -0.459273    0.0126295
          471     -1.02633    -0.460477      0.01266
          472     -1.02633    -0.461676    0.0126899
          473     -0.38114    -0.461506    0.0126642
          474    -0.406397    -0.461389     0.012638
          475    -0.307501    -0.461065    0.0126155
          476    -0.307501    -0.460743    0.0125931
          477    -0.307501    -0.460422    0.0125708
          478    -0.307501    -0.460102    0.0125485
          479    -0.307501    -0.459783    0.0125264
          480    -0.431188    -0.459723    0.0125004
          481    -0.431188    -0.459664    0.0124745
          482    -0.431188    -0.459605    0.0124487
          483    -0.221506    -0.459112    0.0124327
          484    -0.157525    -0.458489    0.0124226
          485    -0.157525    -0.457868    0.0124125
          486    -0.350034    -0.457647    0.0123889
          487    -0.350034    -0.457426    0.0123655
          488    -0.350034    -0.457206    0.0123421
          489    -0.350034    -0.456986    0.0123187
          490     -0.43895     -0.45695    0.0122936
          491     -0.43895    -0.456913    0.0122686
          492     -0.43895    -0.456876    0.0122437
          493     -0.43895     -0.45684    0.0122189
          494     -0.43895    -0.456804    0.0121942
          495     -0.43895    -0.456768    0.0121696
          496     -0.43895    -0.456732    0.0121451
          497     -0.43895    -0.456696    0.0121207
          498     -0.43895     -0.45666    0.0120964
          499    -0.182406    -0.456111    0.0120846
          500    -0.383142    -0.455965    0.0120613
