#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         287     1.01364     1.00351 0.000218106
         288     1.01381     1.00354  0.00022026
         289     1.01397     1.00358 0.000222435
         290     1.01415     1.00362 0.000224632
         291     1.01432     1.00365 0.000226851
         292     1.01449     1.00369 0.000229091
         293     1.01467     1.00373 0.000231353
         294     1.01485     1.00377 0.000233636
         295     1.01502      1.0038  0.00023594
         296      1.0152     1.00384 0.000238265
         297     1.01538     1.00388 0.000240612
         298     1.01557     1.00392 0.000242979
         299     1.01575     1.00396 0.000245366
         300     1.01593       1.004 0.000247773
         301     1.01612     1.00404 0.000250201
         302     1.01631     1.00408 0.000252647
         303     1.01649     1.00412 0.000255113
         304     1.01668     1.00416 0.000257597
         305     1.01687      1.0042 0.000260098
         306     1.01706     1.00425 0.000262617
         307     1.01724     1.00429 0.000265152
         308     1.01743     1.00433 0.000267703
         309     1.01762     1.00437 0.000270269
         310     1.01781     1.00442 0.000272848
         311     1.01799     1.00446  0.00027544
         312     1.01818     1.00451 0.000278044
         313     1.01836     1.00455 0.000280659
         314     1.01855     1.00459 0.000283282
         315     1.01873     1.00464 0.000285913
         316      1.0189     1.00468  0.00028855
         317     1.01908     1.00473 0.000291192
         318     1.01925     1.00478 0.000293836
         319     1.01942     1.00482 0.000296481
         320     1.01959     1.00487 0.000299124
         321     1.01975     1.00491 0.000301764
         322     1.01991     1.00496 0.000304398
         323     1.02006     1.00501 0.000307024
         324      1.0202     1.00505 0.000309638
         325     1.02034      1.0051 0.000312239
         326     1.02048     1.00515 0.000314823
         327      1.0206      1.0052 0.000317386
         328     1.02072     1.00524 0.000319926
         329     1.02082     1.00529 0.000322439
         330     1.02092     1.00534 0.000324921
         331       1.021     1.00539 0.000327369
         332     1.02108     1.00543 0.000329778
         333     1.02114     1.00548 0.000332145
         334     1.02119     1.00553 0.000334464
         335     1.02122     1.00557 0.000336732
         336     1.02124     1.00562 0.000338944
         337     1.02125     1.00567 0.000341095
         338     1.02123     1.00571  0.00034318
         339      1.0212     1.00576 0.000345194
         340     1.02115      1.0058 0.000347133
         341     1.02107     1.00585 0.000348991
         342     1.02098     1.00589 0.000350763
         343     1.02086     1.00594 0.000352445
         344     1.02072     1.00598 0.000354032
         345     1.02056     1.00602 0.000355519
         346     1.02037     1.00606 0.000356901
         347     1.02015      1.0061 0.000358175
         348     1.01991     1.00614 0.000359337
         349     1.01964     1.00618 0.000360382
         350     1.01934     1.00622 0.000361309
         351     1.01902     1.00626 0.000362115
         352     1.01866     1.00629 0.000362798
         353     1.01828     1.00632 0.000363357
         354     1.01787     1.00636 0.000363792
         355     1.01743     1.00639 0.000364102
         356     1.01697     1.00642 0.000364291
         357     1.01648     1.00645 0.000364359
         358     1.01597     1.00647  0.00036431
         359     1.01543      1.0065 0.000364149
         360     1.01487     1.00652  0.00036388
         361      1.0143     1.00654 0.000363509
         362     1.01371     1.00656 0.000363044
         363     1.01311     1.00658 0.000362492
         364     1.01251      1.0066 0.000361862
         365     1.01189     1.00661 0.000361161
         366     1.01128     1.00662   0.0003604
         367     1.01068     1.00664 0.000359587
         368     1.01009     1.00664 0.000358732
         369     1.00951     1.00665 0.000357844
         370     1.00895     1.00666 0.000356931
         371     1.00841     1.00666    0.000356
         372     1.00791     1.00667 0.000355059
         373     1.00744     1.00667 0.000354113
         374     1.00702     1.00667 0.000353167
         375     1.00663     1.00667 0.000352225
         376      1.0063     1.00667  0.00035129
         377     1.00602     1.00667 0.000350362
         378     1.00579     1.00666 0.000349443
         379     1.00562     1.00666 0.000348532
         380     1.00551     1.00666 0.000347628
         381     1.00546     1.00666  0.00034673
         382     1.00547     1.00665 0.000345836
         383     1.00553     1.00665 0.000344945
         384     1.00565     1.00665 0.000344057
         385     1.00582     1.00665  0.00034317
         386     1.00604     1.00664 0.000342284
         387     1.00631     1.00664 0.000341401
         388     1.00661     1.00664 0.000340521
         389     1.00695     1.00664 0.000339647
         390     1.00731     1.00665  0.00033878
         391      1.0077     1.00665 0.000337924
         392      1.0081     1.00665 0.000337083
         393      1.0085     1.00666 0.000336258
         394     1.00891     1.00666 0.000335453
         395     1.00931     1.00667 0.000334671
         396      1.0097     1.00668 0.000333914
         397     1.01008     1.00668 0.000333182
         398     1.01042     1.00669 0.000332478
         399     1.01074      1.0067 0.000331799
         400     1.01102     1.00672 0.000331145
         401     1.01126     1.00673 0.000330513
         402     1.01146     1.00674   0.0003299
         403     1.01161     1.00675 0.000329304
         404     1.01172     1.00676 0.000328718
         405     1.01178     1.00678 0.000328139
         406     1.01178     1.00679 0.000327563
         407     1.01174      1.0068 0.000326984
         408     1.01165     1.00681 0.000326398
         409     1.01151     1.00682 0.000325802
         410     1.01132     1.00683 0.000325192
         411      1.0111     1.00684 0.000324566
         412     1.01084     1.00685 0.000323923
         413     1.01054     1.00686 0.000323262
         414     1.01022     1.00687 0.000322583
         415     1.00988     1.00688 0.000321887
         416     1.00953     1.00688 0.000321177
         417     1.00918     1.00689 0.000320453
         418     1.00882     1.00689  0.00031972
         419     1.00848      1.0069 0.000318979
         420     1.00815      1.0069 0.000318234
         421     1.00786      1.0069 0.000317486
         422     1.00759     1.00691 0.000316738
         423     1.00737     1.00691 0.000315991
         424     1.00721     1.00691 0.000315247
         425     1.00709     1.00691 0.000314505
         426     1.00704     1.00691 0.000313767
         427     1.00706     1.00691 0.000313032
         428     1.00715     1.00691 0.000312302
         429     1.00732     1.00691 0.000311575
         430     1.00757     1.00691 0.000310854
         431     1.00789     1.00691 0.000310141
         432      1.0083     1.00692  0.00030944
         433     1.00878     1.00692 0.000308755
         434     1.00934     1.00693 0.000308094
         435     1.00996     1.00693 0.000307465
         436     1.01066     1.00694 0.000306878
         437     1.01142     1.00695 0.000306348
         438     1.01224     1.00696 0.000305886
         439     1.01311     1.00698  0.00030551
         440     1.01403     1.00699 0.000305235
         441     1.01498     1.00701  0.00030508
         442     1.01597     1.00703 0.000305063
         443     1.01698     1.00706 0.000305199
         444     1.01801     1.00708 0.000305508
         445     1.01905     1.00711 0.000306004
         446      1.0201     1.00714 0.000306701
         447     1.02115     1.00717 0.000307612
         448     1.02219      1.0072 0.000308747
         449     1.02322     1.00724 0.000310113
         450     1.02423     1.00727 0.000311716
         451     1.02523     1.00731 0.000313557
         452     1.02621     1.00736 0.000315637
         453     1.02716      1.0074 0.000317953
         454     1.02808     1.00745 0.000320499
         455     1.02897     1.00749 0.000323269
         456     1.02984     1.00754 0.000326253
         457     1.03067     1.00759 0.000329441
         458     1.03147     1.00764 0.000332821
         459     1.03224      1.0077  0.00033638
         460     1.03297     1.00775 0.000340105
         461     1.03367     1.00781 0.000343982
         462     1.03434     1.00787 0.000347996
         463     1.03497     1.00793 0.000352135
         464     1.03558     1.00798 0.000356384
         465     1.03615     1.00805 0.000360729
         466      1.0367     1.00811 0.000365157
         467     1.03722     1.00817 0.000369657
         468     1.03771     1.00823 0.000374216
         469     1.03817      1.0083 0.000378824
         470     1.03861     1.00836  0.00038347
         471     1.03903     1.00843 0.000388144
         472     1.03942     1.00849 0.000392839
         473      1.0398     1.00856 0.000397545
         474     1.04015     1.00862 0.000402255
         475     1.04049     1.00869 0.000406964
         476     1.04081     1.00876 0.000411664
         477     1.04111     1.00883 0.000416351
         478      1.0414     1.00889  0.00042102
         479     1.04167     1.00896 0.000425666
         480     1.04194     1.00903 0.000430287
         481     1.04219      1.0091 0.000434879
         482     1.04243     1.00917 0.000439438
         483     1.04266     1.00924 0.000443964
         484     1.04288     1.00931 0.000448453
         485     1.04309     1.00938 0.000452905
         486     1.04329     1.00945 0.000457317
         487     1.04349     1.00952  0.00046169
         488     1.04368     1.00959 0.000466021
         489     1.04387     1.00966 0.000470312
         490     1.04405     1.00973 0.000474561
         491     1.04423      1.0098 0.000478768
         492      1.0444     1.00987 0.000482933
         493     1.04457     1.00994 0.000487057
         494     1.04474     1.01001  0.00049114
         495     1.04491     1.01008 0.000495181
         496     1.04507     1.01015 0.000499182
         497     1.04523     1.01022 0.000503144
         498     1.04539     1.01029 0.000507066
         499     1.04555     1.01036  0.00051095
         500     1.04571     1.01043 0.000514797
         501     1.04587      1.0105 0.000518606
         502     1.04603     1.01058  0.00052238
         503     1.04619     1.01065 0.000526119
         504     1.04635     1.01072 0.000529824
         505     1.04651     1.01079 0.000533496
         506     1.04668     1.01086 0.000537135
         507     1.04684     1.01093 0.000540744
         508       1.047       1.011 0.000544322
         509     1.04717     1.01107 0.000547871
         510     1.04734     1.01114 0.000551392
         511     1.04751     1.01121 0.000554886
         512     1.04768     1.01129 0.000558354
         513     1.04785     1.01136 0.000561796
         514     1.04802     1.01143 0.000565214
         515      1.0482      1.0115 0.000568609
         516     1.04838     1.01157 0.000571982
         517     1.04856     1.01164 0.000575333
         518     1.04874     1.01171 0.000578663
         519     1.04893     1.01179 0.000581974
         520     1.04912     1.01186 0.000585266
         521     1.04931     1.01193 0.000588539
         522      1.0495       1.012 0.000591796
         523     1.04969     1.01207 0.000595037
         524     1.04989     1.01215 0.000598262
         525     1.05009     1.01222 0.000601472
         526     1.05029     1.01229 0.000604669
         527      1.0505     1.01236 0.000607852
         528      1.0507     1.01244 0.000611022
         529     1.05091     1.01251 0.000614181
         530     1.05112     1.01258 0.000617329
         531     1.05134     1.01265 0.000620466
         532     1.05155     1.01273 0.000623593
         533     1.05177      1.0128 0.000626711
         534     1.05199     1.01287  0.00062982
         535     1.05221     1.01295 0.000632921
         536     1.05244     1.01302 0.000636014
         537     1.05267     1.01309 0.000639101
         538      1.0529     1.01317  0.00064218
         539     1.05313     1.01324 0.000645254
         540     1.05336     1.01332 0.000648321
         541     1.05359     1.01339 0.000651384
         542     1.05383     1.01347 0.000654441
         543     1.05407     1.01354 0.000657494
         544     1.05431     1.01362 0.000660543
         545     1.05455     1.01369 0.000663588
         546     1.05479     1.01377 0.000666629
         547     1.05504     1.01384 0.000669667
         548     1.05529     1.01392 0.000672702
         549     1.05553     1.01399 0.000675734
         550     1.05578     1.01407 0.000678763
         551     1.05603     1.01415  0.00068179
         552     1.05628     1.01422 0.000684814
         553     1.05653      1.0143 0.000687836
         554     1.05678     1.01437 0.000690856
         555     1.05703     1.01445 0.000693873
         556     1.05728     1.01453 0.000696889
         557     1.05754     1.01461 0.000699902
         558     1.05779     1.01468 0.000702913
         559     1.05804     1.01476 0.000705922
         560     1.05829     1.01484 0.000708929
         561     1.05854     1.01492 0.000711933
         562     1.05879     1.01499 0.000714934
         563     1.05904     1.01507 0.000717933
         564     1.05929     1.01515 0.000720929
         565     1.05954     1.01523 0.000723921
         566     1.05979     1.01531  0.00072691
         567     1.06003     1.01539 0.000729895
         568     1.06028     1.01547 0.000732876
         569     1.06052     1.01555 0.000735852
         570     1.06075     1.01562 0.000738823
         571     1.06099      1.0157 0.000741789
         572     1.06122     1.01578 0.000744749
         573     1.06145     1.01586 0.000747702
         574     1.06168     1.01594 0.000750648
         575     1.06191     1.01602 0.000753586
         576     1.06212      1.0161 0.000756517
         577     1.06234     1.01618 0.000759438
         578     1.06255     1.01626 0.000762349
         579     1.06276     1.01634  0.00076525
         580     1.06296     1.01642  0.00076814
         581     1.06316      1.0165 0.000771018
         582     1.06335     1.01659 0.000773883
         583     1.06353     1.01667 0.000776734
         584     1.06371     1.01675  0.00077957
         585     1.06389     1.01683 0.000782391
         586     1.06405     1.01691 0.000785195
         587     1.06421     1.01699 0.000787982
         588     1.06436     1.01707  0.00079075
         589     1.06451     1.01715 0.000793498
         590     1.06464     1.01723 0.000796226
         591     1.06477     1.01731 0.000798931
         592     1.06489     1.01739 0.000801614
         593       1.065     1.01747 0.000804273
         594      1.0651     1.01755 0.000806906
         595     1.06519     1.01763 0.000809514
         596     1.06528     1.01771 0.000812093
         597     1.06535     1.01779 0.000814644
         598     1.06542     1.01787 0.000817166
         599     1.06547     1.01795 0.000819656
         600     1.06551     1.01803 0.000822114
         601     1.06555     1.01811  0.00082454
         602     1.06557     1.01819 0.000826931
         603     1.06559     1.01827 0.000829287
         604     1.06559     1.01834 0.000831607
         605     1.06558     1.01842 0.000833891
         606     1.06557      1.0185 0.000836136
         607     1.06554     1.01858 0.000838343
         608     1.06551     1.01865  0.00084051
         609     1.06547     1.01873 0.000842637
         610     1.06541     1.01881 0.000844724
         611     1.06536     1.01888  0.00084677
         612     1.06529     1.01896 0.000848774
         613     1.06521     1.01904 0.000850737
         614     1.06513     1.01911 0.000852658
         615     1.06505     1.01919 0.000854537
         616     1.06496     1.01926 0.000856374
         617     1.06486     1.01933  0.00085817
         618     1.06477     1.01941 0.000859924
         619     1.06467     1.01948 0.000861638
         620     1.06457     1.01955 0.000863312
         621     1.06447     1.01963 0.000864946
         622     1.06437      1.0197 0.000866542
         623     1.06428     1.01977 0.000868101
         624     1.06419     1.01984 0.000869623
         625      1.0641     1.01991 0.000871111
         626     1.06403     1.01998 0.000872565
         627     1.06396     1.02005 0.000873988
         628      1.0639     1.02012 0.000875381
         629     1.06385     1.02019 0.000876745
         630     1.06381     1.02026 0.000878084
         631     1.06379     1.02033 0.000879398
         632     1.06379      1.0204 0.000880691
         633      1.0638     1.02047 0.000881964
         634     1.06383     1.02053 0.000883221
         635     1.06387      1.0206 0.000884463
         636     1.06394     1.02067 0.000885694
         637     1.06403     1.02074 0.000886915
         638     1.06414     1.02081  0.00088813
         639     1.06428     1.02087 0.000889342
         640     1.06444     1.02094 0.000890553
         641     1.06462     1.02101 0.000891766
         642     1.06483     1.02108 0.000892985
         643     1.06506     1.02115 0.000894212
         644     1.06532     1.02122  0.00089545
         645      1.0656     1.02129 0.000896703
         646     1.06592     1.02135 0.000897972
         647     1.06625     1.02142 0.000899262
         648     1.06662     1.02149 0.000900574
         649     1.06701     1.02156 0.000901913
         650     1.06742     1.02163  0.00090328
         651     1.06786     1.02171 0.000904679
         652     1.06832     1.02178 0.000906113
         653     1.06881     1.02185 0.000907583
         654     1.06932     1.02192 0.000909093
         655     1.06985     1.02199 0.000910646
         656      1.0704     1.02207 0.000912242
         657     1.07098     1.02214 0.000913886
         658     1.07157     1.02222 0.000915579
         659     1.07218     1.02229 0.000917324
         660     1.07281     1.02237 0.000919122
         661     1.07346     1.02245 0.000920975
         662     1.07412     1.02253 0.000922885
         663     1.07479      1.0226 0.000924854
         664     1.07548     1.02268 0.000926884
         665     1.07618     1.02276 0.000928975
         666      1.0769     1.02285 0.000931129
         667     1.07762     1.02293 0.000933347
         668     1.07835     1.02301  0.00093563
         669     1.07909     1.02309 0.000937978
         670     1.07984     1.02318 0.000940394
         671     1.08059     1.02326 0.000942876
         672     1.08135     1.02335 0.000945426
         673     1.08211     1.02344 0.000948044
         674     1.08287     1.02353 0.000950729
         675     1.08364     1.02362 0.000953483
         676     1.08441     1.02371 0.000956304
         677     1.08518      1.0238 0.000959192
         678     1.08595     1.02389 0.000962147
         679     1.08671     1.02398 0.000965169
         680     1.08748     1.02407 0.000968256
         681     1.08824     1.02417 0.000971408
         682       1.089     1.02426 0.000974624
         683     1.08976     1.02436 0.000977903
         684     1.09051     1.02446 0.000981244
         685     1.09125     1.02455 0.000984645
         686     1.09199     1.02465 0.000988105
         687     1.09273     1.02475 0.000991624
         688     1.09346     1.02485 0.000995198
         689     1.09418     1.02495 0.000998827
         690     1.09489     1.02505  0.00100251
         691     1.09559     1.02515  0.00100624
         692     1.09629     1.02526  0.00101003
         693     1.09698     1.02536  0.00101386
         694     1.09766     1.02547  0.00101773
         695     1.09832     1.02557  0.00102165
         696     1.09898     1.02568  0.00102562
         697     1.09963     1.02578  0.00102962
         698     1.10027     1.02589  0.00103366
         699      1.1009       1.026  0.00103774
         700     1.10152      1.0261  0.00104185
         701     1.10213     1.02621  0.00104599
         702     1.10272     1.02632  0.00105016
         703     1.10331     1.02643  0.00105437
         704     1.10388     1.02654  0.00105859
         705     1.10445     1.02665  0.00106284
         706       1.105     1.02676  0.00106712
         707     1.10554     1.02687  0.00107141
         708     1.10607     1.02699  0.00107572
         709     1.10659      1.0271  0.00108004
         710      1.1071     1.02721  0.00108438
         711     1.10759     1.02732  0.00108874
         712     1.10807     1.02744   0.0010931
