# DISTANCE:     AVE_GOFR:        ERROR:
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 8.10512e-06 7.39893e-06
    0.884913  0.00118453 0.000121033
    0.910562   0.0230315 0.000442038
    0.936212    0.165276  0.00285209
    0.961861    0.559751  0.00531935
    0.987511     1.19938  0.00782146
     1.01316     1.85891  0.00482926
     1.03881     2.32367  0.00561942
     1.06446     2.55449  0.00401214
     1.09011     2.54019   0.0093598
     1.11576     2.40441  0.00532111
     1.14141     2.19361  0.00569115
     1.16706      1.9724  0.00576057
     1.19271     1.75179  0.00525758
     1.21836     1.56722  0.00639763
     1.24401     1.39668  0.00441102
     1.26966     1.25254  0.00455629
     1.29531     1.13292  0.00248848
     1.32096     1.02951  0.00257578
     1.34661    0.944402  0.00224776
     1.37226    0.874791  0.00176365
     1.39791     0.82023  0.00228407
     1.42355    0.774003  0.00270078
      1.4492     0.73664  0.00340829
     1.47485    0.708889  0.00341623
      1.5005    0.690871  0.00236153
     1.52615    0.678143  0.00493035
      1.5518    0.675469  0.00256996
     1.57745    0.672621  0.00191295
      1.6031    0.675782  0.00296159
     1.62875    0.687333  0.00252297
      1.6544    0.704523 0.000928074
     1.68005    0.720615  0.00199039
      1.7057    0.747352  0.00136922
     1.73135    0.781853  0.00193427
       1.757    0.811066  0.00256978
     1.78265    0.849188  0.00171632
      1.8083    0.890788   0.0014804
     1.83395    0.931484  0.00180314
      1.8596    0.969476  0.00248305
     1.88525     1.01603  0.00218716
      1.9109     1.05754  0.00242327
     1.93655     1.09489 0.000810346
      1.9622     1.12787  0.00202756
     1.98785     1.15773  0.00106133
      2.0135     1.18606  0.00186473
     2.03915     1.20598   0.0026057
      2.0648     1.21517  0.00136669
     2.09045     1.21409  0.00292402
      2.1161     1.20502  0.00177981
     2.14174     1.19433   0.0030025
     2.16739     1.17057  0.00259439
     2.19304     1.15132  0.00213751
     2.21869     1.12273  0.00245275
     2.24434     1.09877  0.00222216
     2.26999     1.07072  0.00148794
     2.29564     1.04308  0.00180108
     2.32129     1.01792  0.00181214
     2.34694    0.994872  0.00159961
     2.37259    0.971812  0.00121933
     2.39824     0.95023   0.0022323
     2.42389    0.933529  0.00174443
     2.44954    0.919616  0.00164401
     2.47519    0.908041 0.000748142
     2.50084    0.895727  0.00110697
