#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         657           1    0.979482  0.00326626
         658           1    0.979514  0.00326144
         659           1    0.979545  0.00325664
         660           1    0.979576  0.00325186
         661        0.92    0.979486  0.00324819
         662        0.92    0.979396  0.00324452
         663           1    0.979427  0.00323978
         664           1    0.979458  0.00323505
         665           1    0.979489  0.00323033
         666           1     0.97952  0.00322562
         667           1     0.97955  0.00322093
         668           1    0.979581  0.00321626
         669           1    0.979611   0.0032116
         670           1    0.979642  0.00320695
         671           1    0.979672  0.00320231
         672           1    0.979702  0.00319769
         673           1    0.979733  0.00319308
         674           1    0.979763  0.00318848
         675           1    0.979793   0.0031839
         676           1    0.979822  0.00317933
         677           1    0.979852  0.00317477
         678           1    0.979882  0.00317023
         679           1    0.979912   0.0031657
         680           1    0.979941  0.00316118
         681           1    0.979971  0.00315668
         682           1        0.98  0.00315219
         683           1    0.980029  0.00314771
         684           1    0.980058  0.00314324
         685        0.96    0.980029  0.00313879
         686           1    0.980058  0.00313435
         687           1    0.980087  0.00312992
         688           1    0.980116   0.0031255
         689           1    0.980145   0.0031211
         690           1    0.980174  0.00311671
         691           1    0.980203  0.00311233
         692           1    0.980231  0.00310797
         693           1     0.98026  0.00310361
         694           1    0.980288  0.00309927
         695           1    0.980317  0.00309494
         696           1    0.980345  0.00309062
         697           1    0.980373  0.00308632
         698           1    0.980401  0.00308202
         699           1    0.980429  0.00307774
         700           1    0.980457  0.00307347
         701           1    0.980485  0.00306921
         702           1    0.980513  0.00306497
         703           1    0.980541  0.00306073
         704           1    0.980568  0.00305651
         705           1    0.980596   0.0030523
         706           1    0.980623   0.0030481
         707           1    0.980651  0.00304391
         708           1    0.980678  0.00303974
         709           1    0.980705  0.00303557
         710           1    0.980732  0.00303142
         711           1    0.980759  0.00302727
         712        0.96     0.98073  0.00302316
         713        0.96    0.980701  0.00301906
         714           1    0.980728  0.00301495
         715           1    0.980755  0.00301086
         716           1    0.980782  0.00300677
         717           1    0.980809   0.0030027
         718           1    0.980836  0.00299864
         719           1    0.980862  0.00299458
         720           1    0.980889  0.00299054
         721           1    0.980915  0.00298651
         722           1    0.980942  0.00298249
         723           1    0.980968  0.00297848
         724           1    0.980994  0.00297449
         725           1    0.981021   0.0029705
         726           1    0.981047  0.00296652
         727           1    0.981073  0.00296256
         728           1    0.981099   0.0029586
         729           1    0.981125  0.00295466
         730           1    0.981151  0.00295072
         731           1    0.981176   0.0029468
         732           1    0.981202  0.00294288
         733           1    0.981228  0.00293898
         734           1    0.981253  0.00293509
         735           1    0.981279  0.00293121
         736           1    0.981304  0.00292733
         737           1     0.98133  0.00292347
         738           1    0.981355  0.00291962
         739           1     0.98138  0.00291578
         740           1    0.981405  0.00291195
         741           1     0.98143  0.00290813
         742           1    0.981456  0.00290431
         743           1     0.98148  0.00290051
         744           1    0.981505  0.00289672
         745           1     0.98153  0.00289294
         746           1    0.981555  0.00288917
         747           1     0.98158   0.0028854
         748           1    0.981604  0.00288165
         749           1    0.981629  0.00287791
         750           1    0.981653  0.00287418
         751           1    0.981678  0.00287045
         752           1    0.981702  0.00286674
         753           1    0.981726  0.00286304
         754           1    0.981751  0.00285934
         755           1    0.981775  0.00285566
         756           1    0.981799  0.00285198
         757           1    0.981823  0.00284831
         758           1    0.981847  0.00284466
         759           1    0.981871  0.00284101
         760           1    0.981895  0.00283737
         761           1    0.981919  0.00283374
         762           1    0.981942  0.00283012
         763           1    0.981966  0.00282651
         764           1     0.98199  0.00282291
         765           1    0.982013  0.00281932
         766        0.96    0.981984  0.00281579
         767           1    0.982008  0.00281221
         768           1    0.982031  0.00280865
         769           1    0.982055  0.00280509
         770           1    0.982078  0.00280155
         771           1    0.982101  0.00279801
         772           1    0.982124  0.00279448
         773           1    0.982147  0.00279096
         774           1    0.982171  0.00278745
         775           1    0.982194  0.00278395
