#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         294       -1.02    -1.00017  0.00328741
         295       -1.02    -1.00024  0.00327696
         296       -1.02    -1.00031  0.00326656
         297       -1.02    -1.00037  0.00325624
         298       -1.02    -1.00044  0.00324598
         299       -1.02    -1.00051  0.00323578
         300       -1.02    -1.00057  0.00322565
         301       -1.02    -1.00064  0.00321558
         302       -1.02     -1.0007  0.00320557
         303       -1.02    -1.00076  0.00319562
         304       -1.02    -1.00083  0.00318574
         305       -1.02    -1.00089  0.00317591
         306       -1.02    -1.00095  0.00316615
         307       -1.02    -1.00101  0.00315644
         308       -1.02    -1.00108   0.0031468
         309       -1.02    -1.00114  0.00313721
         310       -1.02     -1.0012  0.00312768
         311       -1.02    -1.00126   0.0031182
         312       -1.02    -1.00132  0.00310879
         313       -1.02    -1.00138  0.00309943
         314       -1.02    -1.00144  0.00309013
         315       -1.02     -1.0015  0.00308088
         316       -1.02    -1.00155  0.00307169
         317       -1.02    -1.00161  0.00306255
         318       -1.02    -1.00167  0.00305346
         319       -1.02    -1.00173  0.00304443
         320       -1.02    -1.00178  0.00303545
         321       -1.02    -1.00184  0.00302653
         322       -1.02     -1.0019  0.00301765
         323       -1.02    -1.00195  0.00300883
         324       -1.02    -1.00201  0.00300006
         325       -1.02    -1.00207  0.00299134
         326       -1.02    -1.00212  0.00298267
         327       -1.02    -1.00217  0.00297405
         328       -1.02    -1.00223  0.00296548
         329       -1.02    -1.00228  0.00295696
         330       -1.02    -1.00234  0.00294848
         331       -1.02    -1.00239  0.00294006
         332       -1.02    -1.00244  0.00293168
         333       -1.02     -1.0025  0.00292335
         334       -1.02    -1.00255  0.00291507
         335       -1.02     -1.0026  0.00290683
         336       -1.02    -1.00265  0.00289864
         337       -1.02     -1.0027   0.0028905
         338       -1.02    -1.00276   0.0028824
         339       -1.02    -1.00281  0.00287434
         340       -1.02    -1.00286  0.00286634
         341       -1.02    -1.00291  0.00285837
         342       -1.02    -1.00296  0.00285045
         343       -1.02    -1.00301  0.00284257
         344       -1.02    -1.00306  0.00283474
         345       -1.02     -1.0031  0.00282695
         346       -1.02    -1.00315   0.0028192
         347       -1.02     -1.0032  0.00281149
         348       -1.02    -1.00325  0.00280383
         349       -1.02     -1.0033   0.0027962
         350       -1.02    -1.00335  0.00278862
         351       -1.02    -1.00339  0.00278108
         352       -1.02    -1.00344  0.00277358
         353       -1.02    -1.00349  0.00276612
         354       -1.02    -1.00353   0.0027587
         355       -1.02    -1.00358  0.00275132
         356       -1.02    -1.00363  0.00274398
         357       -1.02    -1.00367  0.00273667
         358       -1.02    -1.00372  0.00272941
         359       -1.02    -1.00376  0.00272218
         360       -1.02    -1.00381  0.00271499
         361       -1.02    -1.00385  0.00270784
         362       -1.02     -1.0039  0.00270073
         363       -1.02    -1.00394  0.00269366
         364       -1.02    -1.00399  0.00268662
         365       -1.02    -1.00403  0.00267961
         366       -1.02    -1.00407  0.00267265
         367       -1.02    -1.00412  0.00266572
         368       -1.02    -1.00416  0.00265882
         369       -1.02     -1.0042  0.00265196
         370       -1.02    -1.00425  0.00264514
         371       -1.02    -1.00429  0.00263835
         372       -1.02    -1.00433   0.0026316
         373       -1.02    -1.00437  0.00262488
         374       -1.02    -1.00441  0.00261819
         375       -1.02    -1.00446  0.00261154
         376       -1.02     -1.0045  0.00260492
         377       -1.02    -1.00454  0.00259834
         378       -1.02    -1.00458  0.00259178
         379       -1.02    -1.00462  0.00258527
         380       -1.02    -1.00466  0.00257878
         381       -1.02     -1.0047  0.00257232
         382       -1.02    -1.00474   0.0025659
         383       -1.02    -1.00478  0.00255951
         384       -1.02    -1.00482  0.00255315
         385       -1.02    -1.00486  0.00254683
         386       -1.02     -1.0049  0.00254053
         387       -1.02    -1.00494  0.00253427
         388       -1.02    -1.00498  0.00252803
         389       -1.02    -1.00502  0.00252183
         390       -1.02    -1.00505  0.00251565
         391       -1.02    -1.00509  0.00250951
         392       -1.02    -1.00513   0.0025034
         393       -1.02    -1.00517  0.00249731
         394       -1.02    -1.00521  0.00249126
         395       -1.02    -1.00524  0.00248523
         396       -1.02    -1.00528  0.00247924
         397       -1.02    -1.00532  0.00247327
         398       -1.02    -1.00535  0.00246733
         399       -1.02    -1.00539  0.00246142
         400       -1.02    -1.00543  0.00245554
         401       -1.02    -1.00546  0.00244968
         402       -1.02     -1.0055  0.00244385
         403       -1.02    -1.00554  0.00243805
         404       -1.02    -1.00557  0.00243228
         405       -1.02    -1.00561  0.00242654
         406       -1.02    -1.00564  0.00242082
         407       -1.02    -1.00568  0.00241513
         408       -1.02    -1.00571  0.00240946
         409       -1.02    -1.00575  0.00240383
         410       -1.02    -1.00578  0.00239822
         411       -1.02    -1.00582  0.00239263
         412     -0.9392    -1.00566  0.00239228
         413       -1.02    -1.00569  0.00238674
         414       -1.02    -1.00573  0.00238122
         415       -1.02    -1.00576  0.00237573
         416       -1.02    -1.00579  0.00237027
         417       -1.02    -1.00583  0.00236483
         418       -1.02    -1.00586  0.00235942
         419       -1.02     -1.0059  0.00235403
         420       -1.02    -1.00593  0.00234866
         421       -1.02    -1.00596  0.00234332
         422       -1.02      -1.006    0.002338
         423       -1.02    -1.00603  0.00233271
         424       -1.02    -1.00606  0.00232744
         425       -1.02     -1.0061   0.0023222
         426       -1.02    -1.00613  0.00231697
         427       -1.02    -1.00616  0.00231178
         428       -1.02    -1.00619   0.0023066
         429       -1.02    -1.00622  0.00230145
         430       -1.02    -1.00626  0.00229632
         431       -1.02    -1.00629  0.00229121
         432       -1.02    -1.00632  0.00228613
         433       -1.02    -1.00635  0.00228107
         434       -1.02    -1.00638  0.00227603
         435       -1.02    -1.00641  0.00227101
         436       -1.02    -1.00645  0.00226602
         437       -1.02    -1.00648  0.00226104
         438       -1.02    -1.00651  0.00225609
         439       -1.02    -1.00654  0.00225116
         440       -1.02    -1.00657  0.00224625
         441       -1.02     -1.0066  0.00224137
         442       -1.02    -1.00663   0.0022365
         443       -1.02    -1.00666  0.00223166
         444       -1.02    -1.00669  0.00222683
         445       -1.02    -1.00672  0.00222203
         446       -1.02    -1.00675  0.00221725
         447       -1.02    -1.00678  0.00221248
         448       -1.02    -1.00681  0.00220774
         449       -1.02    -1.00684  0.00220302
         450       -1.02    -1.00687  0.00219832
         451       -1.02     -1.0069  0.00219364
         452       -1.02    -1.00693  0.00218898
         453       -1.02    -1.00695  0.00218433
         454       -1.02    -1.00698  0.00217971
         455       -1.02    -1.00701  0.00217511
         456       -1.02    -1.00704  0.00217053
         457       -1.02    -1.00707  0.00216596
         458       -1.02     -1.0071  0.00216142
         459       -1.02    -1.00713  0.00215689
         460       -1.02    -1.00715  0.00215238
         461       -1.02    -1.00718  0.00214789
         462       -1.02    -1.00721  0.00214342
         463       -1.02    -1.00724  0.00213897
         464       -1.02    -1.00726  0.00213454
         465       -1.02    -1.00729  0.00213013
         466       -1.02    -1.00732  0.00212573
         467       -1.02    -1.00735  0.00212135
         468       -1.02    -1.00737  0.00211699
         469       -1.02     -1.0074  0.00211265
         470       -1.02    -1.00743  0.00210832
         471       -1.02    -1.00745  0.00210401
         472       -1.02    -1.00748  0.00209973
         473       -1.02    -1.00751  0.00209545
         474       -1.02    -1.00753   0.0020912
         475       -1.02    -1.00756  0.00208696
         476       -1.02    -1.00758  0.00208274
         477       -1.02    -1.00761  0.00207854
         478       -1.02    -1.00764  0.00207435
         479       -1.02    -1.00766  0.00207018
         480       -1.02    -1.00769  0.00206603
         481       -1.02    -1.00771  0.00206189
         482       -1.02    -1.00774  0.00205777
         483       -1.02    -1.00776  0.00205366
         484       -1.02    -1.00779  0.00204958
         485       -1.02    -1.00782  0.00204551
         486       -1.02    -1.00784  0.00204145
         487       -1.02    -1.00787  0.00203741
         488       -1.02    -1.00789  0.00203339
         489       -1.02    -1.00791  0.00202938
         490       -1.02    -1.00794  0.00202539
         491       -1.02    -1.00796  0.00202141
         492       -1.02    -1.00799  0.00201745
         493       -1.02    -1.00801  0.00201351
         494       -1.02    -1.00804  0.00200958
         495       -1.02    -1.00806  0.00200566
         496       -1.02    -1.00809  0.00200176
         497       -1.02    -1.00811  0.00199788
         498       -1.02    -1.00813  0.00199401
         499       -1.02    -1.00816  0.00199016
         500       -1.02    -1.00818  0.00198632
         501       -1.02     -1.0082  0.00198249
         502       -1.02    -1.00823  0.00197868
         503       -1.02    -1.00825  0.00197489
         504       -1.02    -1.00827  0.00197111
         505       -1.02     -1.0083  0.00196734
         506       -1.02    -1.00832  0.00196359
         507       -1.02    -1.00834  0.00195985
         508       -1.02    -1.00837  0.00195613
         509       -1.02    -1.00839  0.00195242
         510       -1.02    -1.00841  0.00194872
         511       -1.02    -1.00844  0.00194504
         512       -1.02    -1.00846  0.00194137
         513       -1.02    -1.00848  0.00193772
         514       -1.02     -1.0085  0.00193408
         515       -1.02    -1.00853  0.00193045
         516       -1.02    -1.00855  0.00192684
         517       -1.02    -1.00857  0.00192324
         518       -1.02    -1.00859  0.00191965
         519       -1.02    -1.00861  0.00191608
         520       -1.02    -1.00864  0.00191252
         521       -1.02    -1.00866  0.00190897
         522       -1.02    -1.00868  0.00190544
         523       -1.02     -1.0087  0.00190192
         524       -1.02    -1.00872  0.00189841
         525       -1.02    -1.00874  0.00189492
         526       -1.02    -1.00877  0.00189144
         527       -1.02    -1.00879  0.00188797
         528       -1.02    -1.00881  0.00188451
         529       -1.02    -1.00883  0.00188107
         530       -1.02    -1.00885  0.00187764
         531       -1.02    -1.00887  0.00187422
         532       -1.02    -1.00889  0.00187081
         533       -1.02    -1.00891  0.00186742
         534       -1.02    -1.00893  0.00186404
         535       -1.02    -1.00895  0.00186067
         536       -1.02    -1.00897  0.00185731
         537       -1.02      -1.009  0.00185396
         538       -1.02    -1.00902  0.00185063
         539       -1.02    -1.00904  0.00184731
         540       -1.02    -1.00906    0.001844
         541       -1.02    -1.00908   0.0018407
         542       -1.02     -1.0091  0.00183742
         543       -1.02    -1.00912  0.00183414
         544     -0.9384    -1.00899  0.00183537
         545      -0.936    -1.00885  0.00183688
         546      -0.936    -1.00872  0.00183836
         547     -0.9352    -1.00859   0.0018399
         548     -0.9328    -1.00845  0.00184174
         549      -0.936    -1.00831   0.0018431
         550     -0.9328    -1.00818  0.00184486
         551     -0.9352    -1.00805  0.00184626
         552     -0.9376    -1.00792  0.00184732
         553       -1.02    -1.00794  0.00184411
         554       -1.02    -1.00796  0.00184091
