#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         698        0.36     1.49295   0.0781817
         699           0     1.49082   0.0780991
         700        0.36      1.4892   0.0780042
         701           0     1.48708   0.0779219
         702        0.36     1.48547   0.0778274
         703        1.96     1.48615   0.0777196
         704        0.36     1.48455   0.0776257
         705        0.36     1.48295    0.077532
         706        1.44     1.48289   0.0774222
         707           1     1.48221   0.0773157
         708        2.56     1.48373   0.0772214
         709        0.64     1.48254   0.0771217
         710        2.56     1.48406    0.077028
         711           1     1.48338   0.0769227
         712        0.64     1.48219   0.0768238
         713           0     1.48011   0.0767441
         714           0     1.47804   0.0766646
         715        0.64     1.47687   0.0765664
         716        0.16     1.47503   0.0764815
         717        0.36     1.47347   0.0763907
         718           0     1.47142   0.0763118
         719        1.96      1.4721   0.0762087
         720        0.16     1.47028   0.0761247
         721           1     1.46963   0.0760219
         722        1.44     1.46958   0.0759166
         723           0     1.46755   0.0758388
         724        0.16     1.46575   0.0757555
         725        1.96     1.46643   0.0756541
         726        0.16     1.46463   0.0755713
         727        0.04     1.46267   0.0754928
         728        0.04     1.46071   0.0754144
         729        1.44     1.46069   0.0753109
         730        0.64     1.45956   0.0752161
         731        0.36     1.45806   0.0751283
         732        1.44     1.45803   0.0750257
         733        0.36     1.45653   0.0749383
         734           0     1.45455   0.0748624
         735        0.36     1.45306   0.0747754
         736        1.96     1.45375    0.074677
         737        1.44     1.45373   0.0745756
         738        2.56     1.45523   0.0744896
         739        5.76     1.46106   0.0746163
         740           4     1.46449   0.0745943
         741        1.96     1.46516   0.0744966
         742           4     1.46857   0.0744745
         743        3.24     1.47096   0.0744124
         744        0.16     1.46919   0.0743333
         745        1.96     1.46985   0.0742364
         746        0.36     1.46836   0.0741518
         747        0.64     1.46726   0.0740608
         748        1.44     1.46722   0.0739618
         749           4      1.4706   0.0739403
         750        3.24     1.47296   0.0738794
         751        1.96     1.47361   0.0737838
         752        0.36     1.47213   0.0737006
         753        0.64     1.47102    0.073611
         754        0.16     1.46928   0.0735339
         755        0.36     1.46781   0.0734512
         756        0.64     1.46672   0.0733622
         757           1      1.4661   0.0732679
         758        5.76     1.47177   0.0733899
         759           1     1.47115   0.0732958
         760        1.44     1.47111   0.0731994
         761        0.36     1.46965   0.0731177
         762        2.56     1.47108   0.0730358
         763        0.64     1.46999   0.0729482
         764        0.04     1.46812   0.0728767
         765           1      1.4675    0.072784
         766        4.84     1.47191    0.072822
         767        5.76      1.4775   0.0729414
         768        4.84     1.48187   0.0729777
         769        1.96      1.4825   0.0728854
         770        1.96     1.48312   0.0727934
         771        0.04     1.48125   0.0727231
         772        0.04     1.47938   0.0726528
         773        1.96        1.48   0.0725615
         774        0.64     1.47891   0.0724759
         775        3.24     1.48119    0.072418
         776        0.16     1.47948   0.0723447
         777        1.96      1.4801   0.0722542
         778        0.36     1.47866   0.0721757
         779        2.56     1.48005   0.0720964
         780        2.56     1.48144   0.0720172
         781        4.84     1.48574   0.0720533
         782       10.24     1.49693   0.0728256
         783        4.84      1.5012   0.0728576
         784        4.84     1.50546   0.0728891
         785        1.96     1.50604   0.0727985
         786        0.64     1.50494   0.0727142
         787        0.04     1.50307   0.0726457
         788           0     1.50117   0.0725785
