#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
           10            8    -0.939645    -0.609559    -0.368411    0.0174657
           11            8    -0.830898     -0.61103    -0.439708   0.00905603
           12            8     -0.76438     -0.67912    -0.412561    0.0112556
           13            8    -0.840983    -0.665976      -0.4246    0.0109845
           14            8    -0.840983    -0.665976      -0.4246   0.00864506
           15            8    -0.758775    -0.675669    -0.427529    0.0071771
           16            8    -0.866639    -0.693035    -0.396776    0.0220732
           17            8    -0.860147    -0.732691    -0.273451    0.0338738
           18            8    -0.860147    -0.732691    -0.273451    0.0586767
           19            8    -0.840003    -0.622522    -0.438613    0.0094066
           20            8    -0.822577    -0.519372    -0.360123    0.0140504
           21            8     -0.81862    -0.565473    -0.423716   0.00805861
           22            8    -0.769267    -0.650822    -0.437139    0.0105329
           23            8    -0.806071    -0.766654    -0.312075    0.0255785
           24            8    -0.806071    -0.766654    -0.312075    0.0478844
           25            8    -0.866362    -0.768001     -0.30408    0.0312111
           26            8    -0.866362    -0.768001     -0.30408    0.0603493
           27            8    -0.866362    -0.768001     -0.30408    0.0430696
           28            8    -0.866362    -0.768001     -0.30408    0.0357641
           29            8    -0.866362    -0.768001     -0.30408    0.0301288
           30            8    -0.866362    -0.768001     -0.30408    0.0483131
           31            8     -0.81841    -0.685969    -0.399655    0.0165582
           32            8    -0.749467    -0.761496    -0.361136    0.0173578
           33            8    -0.863535    -0.705916    -0.343546     0.022095
           34            8     -0.84732    -0.598974    -0.431831   0.00574873
           35            8    -0.897767    -0.652538    -0.409414    0.0157183
           36            8    -0.930144    -0.706502    -0.316901     0.033152
           37            8     -1.00793     -0.65972    -0.216862    0.0269383
           38            8     -1.00793     -0.65972    -0.216862    0.0405039
           39            8      -1.0348    -0.622041    -0.186079    0.0244004
           40            8    -0.966331     -0.60578    -0.357082    0.0205123
           41            8    -0.966331     -0.60578    -0.357082    0.0151838
           42            8    -0.972606    -0.528422    -0.263993    0.0115351
           43            8    -0.972606    -0.528422    -0.263993    0.0216647
           44            8    -0.972606    -0.528422    -0.263993    0.0196113
           45            8    -0.972606    -0.528422    -0.263993    0.0220766
           46            8    -0.873443    -0.623768    -0.414918    0.0150769
           47            8    -0.873443    -0.623768    -0.414918    0.0152301
           48            8    -0.811647    -0.712243    -0.399211    0.0159325
           49            8     -0.89469    -0.608001     -0.40264    0.0116249
           50            8     -0.89469    -0.608001     -0.40264    0.0229667
            1            9    -0.879657     -0.55264    -0.365912   0.00981928
            2            9    -0.889703    -0.550417    -0.378124    0.0100452
            3            9    -0.949141    -0.635031    -0.382433    0.0159963
            4            9    -0.949141    -0.635031    -0.382433    0.0195964
            5            9    -0.926874     -0.58398    -0.381971   0.00922644
            6            9    -0.958258     -0.65864    -0.292552    0.0241941
            7            9    -0.889816    -0.635988    -0.410181    0.0129158
            8            9    -0.950065     -0.53026    -0.261459    0.0113723
            9            9    -0.950065     -0.53026    -0.261459    0.0219873
           10            9    -0.868601    -0.515979     -0.31175    0.0132948
           11            9    -0.868601    -0.515979     -0.31175    0.0188019
           12            9     -0.77447    -0.552748    -0.414314   0.00928186
           13            9    -0.880008    -0.662892    -0.420051    0.0198825
           14            9    -0.932481    -0.688387    -0.351194    0.0195586
           15            9    -0.984283    -0.687957    -0.178357    0.0399986
           16            9      -1.0747    -0.617944    -0.120673    0.0260406
           17            9      -1.0747    -0.617944    -0.120673    0.0253405
           18            9      -1.0747    -0.617944    -0.120673    0.0665839
           19            9      -1.0747    -0.617944    -0.120673    0.0486281
           20            9      -1.0747    -0.617944    -0.120673    0.0179803
           21            9    -0.989656    -0.727105   -0.0996075    0.0571213
           22            9     -1.03966    -0.687241    -0.109609    0.0408742
           23            9     -1.03966    -0.687241    -0.109609    0.0415257
           24            9     -1.03966    -0.687241    -0.109609    0.0313232
           25            9     -1.03966    -0.687241    -0.109609    0.0410993
           26            9    -0.991535    -0.786701   -0.0805652    0.0581277
           27            9    -0.926154    -0.721661    -0.256232    0.0403692
           28            9    -0.926154    -0.721661    -0.256232    0.0332427
           29            9    -0.926154    -0.721661    -0.256232    0.0533134
           30            9    -0.993513    -0.643411    -0.254289    0.0274118
           31            9    -0.964191    -0.533894    -0.267732    0.0113987
           32            9     -1.02162    -0.576887    -0.217748    0.0185814
           33            9    -0.921941    -0.586939     -0.38959    0.0113584
           34            9    -0.990245    -0.606314    -0.334414    0.0140595
           35            9    -0.990245    -0.606314    -0.334414    0.0295493
           36            9    -0.990245    -0.606314    -0.334414    0.0152166
           37            9    -0.990245    -0.606314    -0.334414    0.0448659
           38            9    -0.900332     -0.50913    -0.258806    0.0145432
           39            9    -0.900332     -0.50913    -0.258806    0.0158524
           40            9    -0.900332     -0.50913    -0.258806    0.0265131
