#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         331     2.74213     2.74265 1.93473e-05
         332     2.74212     2.74265  1.9355e-05
         333     2.74211     2.74264 1.93637e-05
         334      2.7421     2.74264 1.93729e-05
         335     2.74211     2.74264 1.93807e-05
         336     2.74211     2.74264 1.93883e-05
         337      2.7421     2.74264 1.93963e-05
         338      2.7421     2.74264 1.94043e-05
         339     2.74209     2.74263 1.94138e-05
         340     2.74209     2.74263 1.94231e-05
         341     2.74208     2.74263 1.94329e-05
         342     2.74208     2.74263 1.94425e-05
         343     2.74208     2.74263  1.9452e-05
         344     2.74208     2.74263 1.94603e-05
         345     2.74208     2.74262 1.94684e-05
         346     2.74208     2.74262 1.94765e-05
         347     2.74207     2.74262 1.94844e-05
         348     2.74207     2.74262 1.94923e-05
         349     2.74207     2.74262 1.95007e-05
         350     2.74206     2.74262 1.95089e-05
         351     2.74206     2.74262 1.95171e-05
         352     2.74206     2.74261 1.95248e-05
         353     2.74205     2.74261 1.95339e-05
         354     2.74205     2.74261 1.95431e-05
         355     2.74205     2.74261 1.95527e-05
         356     2.74204     2.74261 1.95623e-05
         357     2.74204     2.74261 1.95719e-05
         358     2.74204      2.7426 1.95814e-05
         359     2.74204      2.7426 1.95909e-05
         360     2.74203      2.7426 1.96003e-05
         361     2.74203      2.7426 1.96098e-05
         362     2.74203      2.7426 1.96192e-05
         363     2.74202      2.7426 1.96287e-05
         364     2.74202     2.74259 1.96377e-05
         365     2.74202     2.74259 1.96466e-05
         366     2.74201     2.74259 1.96572e-05
         367     2.74201     2.74259 1.96683e-05
         368       2.742     2.74259   1.968e-05
         369       2.742     2.74259 1.96916e-05
         370     2.74199     2.74258 1.97038e-05
         371     2.74199     2.74258 1.97161e-05
         372     2.74198     2.74258 1.97289e-05
         373     2.74199     2.74258 1.97407e-05
         374     2.74198     2.74258 1.97526e-05
         375     2.74198     2.74258  1.9765e-05
         376     2.74197     2.74258 1.97786e-05
         377     2.74197     2.74257 1.97922e-05
         378     2.74196     2.74257 1.98058e-05
         379     2.74196     2.74257 1.98196e-05
         380     2.74196     2.74257 1.98329e-05
         381     2.74195     2.74257 1.98463e-05
         382     2.74195     2.74257 1.98604e-05
         383     2.74195     2.74256  1.9874e-05
         384     2.74194     2.74256 1.98878e-05
         385     2.74194     2.74256 1.99016e-05
         386     2.74194     2.74256 1.99156e-05
         387     2.74194     2.74256 1.99293e-05
         388     2.74193     2.74256 1.99436e-05
         389     2.74193     2.74255  1.9958e-05
         390     2.74192     2.74255 1.99726e-05
         391     2.74192     2.74255 1.99873e-05
         392     2.74192     2.74255 2.00017e-05
         393     2.74191     2.74255 2.00163e-05
         394     2.74191     2.74255 2.00311e-05
         395      2.7419     2.74254 2.00461e-05
         396      2.7419     2.74254 2.00607e-05
         397      2.7419     2.74254 2.00756e-05
         398     2.74189     2.74254 2.00912e-05
         399     2.74189     2.74254  2.0107e-05
         400     2.74188     2.74254 2.01239e-05
         401     2.74188     2.74253 2.01406e-05
         402     2.74187     2.74253 2.01575e-05
         403     2.74187     2.74253 2.01751e-05
         404     2.74186     2.74253 2.01929e-05
         405     2.74186     2.74253 2.02109e-05
         406     2.74185     2.74253 2.02297e-05
         407     2.74185     2.74252 2.02491e-05
         408     2.74184     2.74252 2.02688e-05
         409     2.74184     2.74252 2.02887e-05
         410     2.74183     2.74252 2.03088e-05
         411     2.74183     2.74252 2.03291e-05
         412     2.74182     2.74252 2.03496e-05
         413     2.74182     2.74251 2.03699e-05
         414     2.74181     2.74251 2.03909e-05
         415      2.7418     2.74251 2.04131e-05
         416      2.7418     2.74251  2.0436e-05
         417      2.7418     2.74251 2.04586e-05
         418     2.74179     2.74251 2.04809e-05
         419     2.74179      2.7425 2.05035e-05
         420     2.74179      2.7425 2.05257e-05
         421     2.74179      2.7425 2.05468e-05
         422     2.74178      2.7425 2.05686e-05
         423     2.74178      2.7425 2.05906e-05
         424     2.74177      2.7425 2.06132e-05
         425     2.74176     2.74249 2.06365e-05
         426     2.74176     2.74249 2.06603e-05
         427     2.74175     2.74249 2.06844e-05
         428     2.74175     2.74249 2.07085e-05
         429     2.74174     2.74249 2.07328e-05
         430     2.74174     2.74249 2.07572e-05
         431     2.74174     2.74248 2.07816e-05
         432     2.74173     2.74248 2.08071e-05
         433     2.74172     2.74248 2.08335e-05
         434     2.74171     2.74248 2.08603e-05
         435     2.74171     2.74248 2.08876e-05
         436      2.7417     2.74248 2.09148e-05
         437      2.7417     2.74247 2.09428e-05
         438     2.74169     2.74247 2.09707e-05
         439     2.74169     2.74247 2.09984e-05
         440     2.74169     2.74247 2.10255e-05
         441     2.74169     2.74247 2.10523e-05
         442     2.74168     2.74246 2.10788e-05
         443     2.74168     2.74246 2.11045e-05
         444     2.74168     2.74246 2.11298e-05
         445     2.74168     2.74246 2.11547e-05
         446     2.74168     2.74246 2.11791e-05
         447     2.74168     2.74246 2.12038e-05
         448     2.74168     2.74245 2.12278e-05
         449     2.74167     2.74245 2.12516e-05
         450     2.74168     2.74245 2.12742e-05
         451     2.74168     2.74245 2.12959e-05
         452     2.74168     2.74245 2.13171e-05
         453     2.74168     2.74245 2.13368e-05
         454     2.74168     2.74244 2.13559e-05
         455     2.74168     2.74244 2.13741e-05
         456     2.74169     2.74244 2.13915e-05
