#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         403     2.82816     2.78867  0.00072087
         404     2.82862     2.78877 0.000725837
         405     2.82909     2.78887 0.000730841
         406     2.82957     2.78897 0.000735883
         407     2.83005     2.78907 0.000740964
         408     2.83053     2.78917 0.000746083
         409     2.83102     2.78928 0.000751242
         410     2.83151     2.78938 0.000756439
         411     2.83201     2.78948 0.000761677
         412     2.83251     2.78959 0.000766955
         413     2.83302     2.78969 0.000772273
         414     2.83353      2.7898 0.000777632
         415     2.83404      2.7899 0.000783032
         416     2.83456     2.79001 0.000788474
         417     2.83509     2.79012 0.000793957
         418     2.83561     2.79023 0.000799482
         419     2.83615     2.79034  0.00080505
         420     2.83668     2.79045 0.000810661
         421     2.83723     2.79056 0.000816314
         422     2.83777     2.79067 0.000822011
         423     2.83832     2.79078 0.000827751
         424     2.83888      2.7909 0.000833534
         425     2.83944     2.79101 0.000839362
         426        2.84     2.79113 0.000845234
         427     2.84057     2.79124 0.000851149
         428     2.84115     2.79136  0.00085711
         429     2.84172     2.79148 0.000863115
         430     2.84231      2.7916 0.000869164
         431     2.84289     2.79171 0.000875258
         432     2.84348     2.79183 0.000881397
         433     2.84408     2.79195  0.00088758
         434     2.84467     2.79208 0.000893808
         435     2.84527      2.7922 0.000900081
         436     2.84588     2.79232 0.000906398
         437     2.84649     2.79245  0.00091276
         438      2.8471     2.79257 0.000919165
         439     2.84771      2.7927 0.000925615
         440     2.84833     2.79282 0.000932108
         441     2.84895     2.79295 0.000938644
         442     2.84958     2.79308 0.000945222
         443      2.8502     2.79321 0.000951843
         444     2.85083     2.79334 0.000958505
         445     2.85146     2.79347 0.000965208
         446     2.85209      2.7936 0.000971951
         447     2.85272     2.79373 0.000978734
         448     2.85335     2.79386 0.000985554
         449     2.85398       2.794 0.000992412
         450     2.85461     2.79413 0.000999306
         451     2.85524     2.79427  0.00100623
         452     2.85587      2.7944   0.0010132
         453      2.8565     2.79454  0.00102019
         454     2.85712     2.79468  0.00102721
         455     2.85775     2.79482  0.00103426
         456     2.85836     2.79496  0.00104134
         457     2.85898      2.7951  0.00104844
         458     2.85959     2.79524  0.00105557
         459     2.86019     2.79538  0.00106271
         460     2.86078     2.79552  0.00106987
         461     2.86137     2.79566  0.00107704
         462     2.86195     2.79581  0.00108422
         463     2.86251     2.79595  0.00109141
         464     2.86307      2.7961   0.0010986
         465     2.86361     2.79624  0.00110579
         466     2.86414     2.79639  0.00111298
         467     2.86466     2.79653  0.00112016
         468     2.86515     2.79668  0.00112732
         469     2.86563     2.79683  0.00113446
         470     2.86609     2.79697  0.00114158
         471     2.86653     2.79712  0.00114867
         472     2.86694     2.79727  0.00115572
         473     2.86733     2.79742  0.00116273
         474     2.86769     2.79757  0.00116969
         475     2.86802     2.79772  0.00117659
         476     2.86831     2.79786  0.00118343
         477     2.86857     2.79801  0.00119019
         478      2.8688     2.79816  0.00119688
         479     2.86899     2.79831  0.00120348
         480     2.86913     2.79846  0.00120999
         481     2.86924      2.7986  0.00121639
         482     2.86929     2.79875  0.00122267
         483      2.8693      2.7989  0.00122883
         484     2.86925     2.79904  0.00123486
         485     2.86915     2.79919  0.00124075
         486       2.869     2.79933  0.00124648
         487     2.86878     2.79947  0.00125206
         488     2.86851     2.79961  0.00125746
         489     2.86817     2.79975  0.00126268
         490     2.86777     2.79989  0.00126771
         491     2.86731     2.80003  0.00127254
         492     2.86678     2.80016  0.00127717
         493     2.86618      2.8003  0.00128158
         494     2.86552     2.80043  0.00128576
         495     2.86479     2.80056  0.00128972
         496     2.86399     2.80069  0.00129345
         497     2.86314     2.80081  0.00129693
         498     2.86222     2.80094  0.00130018
         499     2.86125     2.80106  0.00130318
         500     2.86023     2.80118  0.00130593
         501     2.85916     2.80129  0.00130844
         502     2.85805     2.80141  0.00131071
         503     2.85691     2.80152  0.00131274
         504     2.85574     2.80162  0.00131454
         505     2.85456     2.80173  0.00131611
         506     2.85338     2.80183  0.00131746
         507      2.8522     2.80193   0.0013186
         508     2.85104     2.80203  0.00131955
         509     2.84991     2.80212   0.0013203
         510     2.84883     2.80221  0.00132089
         511      2.8478      2.8023  0.00132131
         512     2.84683     2.80239  0.00132159
         513     2.84595     2.80247  0.00132174
         514     2.84516     2.80256  0.00132177
         515     2.84447     2.80264  0.00132171
         516      2.8439     2.80272  0.00132156
         517     2.84344      2.8028  0.00132135
         518     2.84312     2.80287  0.00132109
         519     2.84292     2.80295   0.0013208
         520     2.84287     2.80303  0.00132049
         521     2.84295      2.8031  0.00132018
         522     2.84317     2.80318  0.00131988
         523     2.84353     2.80326  0.00131961
         524     2.84402     2.80334  0.00131938
         525     2.84464     2.80342  0.00131921
         526     2.84538     2.80349  0.00131911
         527     2.84623     2.80358   0.0013191
         528     2.84719     2.80366  0.00131918
         529     2.84824     2.80374  0.00131938
         530     2.84937     2.80383   0.0013197
         531     2.85057     2.80392  0.00132014
         532     2.85183     2.80401  0.00132073
         533     2.85314      2.8041  0.00132146
         534     2.85449     2.80419  0.00132235
         535     2.85587     2.80429  0.00132341
         536     2.85727     2.80439  0.00132462
         537     2.85868     2.80449  0.00132601
         538      2.8601     2.80459  0.00132757
         539     2.86151      2.8047   0.0013293
         540     2.86291     2.80481   0.0013312
         541     2.86431     2.80492  0.00133327
         542     2.86568     2.80503  0.00133552
         543     2.86704     2.80514  0.00133793
         544     2.86838     2.80526  0.00134051
         545     2.86969     2.80538  0.00134326
         546     2.87098      2.8055  0.00134616
         547     2.87225     2.80562  0.00134922
         548     2.87349     2.80574  0.00135243
         549     2.87472     2.80587  0.00135579
         550     2.87592       2.806  0.00135929
         551      2.8771     2.80613  0.00136294
         552     2.87827     2.80626  0.00136672
         553     2.87942     2.80639  0.00137064
         554     2.88056     2.80652  0.00137469
         555     2.88168     2.80666  0.00137886
         556      2.8828     2.80679  0.00138317
         557     2.88391     2.80693   0.0013876
         558     2.88501     2.80707  0.00139215
         559     2.88611     2.80721  0.00139682
         560      2.8872     2.80736  0.00140161
         561     2.88829      2.8075  0.00140651
         562     2.88938     2.80765  0.00141154
         563     2.89047     2.80779  0.00141667
         564     2.89156     2.80794  0.00142193
         565     2.89265     2.80809  0.00142729
         566     2.89373     2.80824  0.00143277
         567     2.89482      2.8084  0.00143835
         568     2.89591     2.80855  0.00144405
         569     2.89699     2.80871  0.00144985
         570     2.89808     2.80886  0.00145576
         571     2.89916     2.80902  0.00146178
         572     2.90024     2.80918  0.00146789
         573     2.90131     2.80934  0.00147411
         574     2.90238      2.8095  0.00148043
         575     2.90344     2.80967  0.00148684
         576      2.9045     2.80983  0.00149335
         577     2.90554        2.81  0.00149994
         578     2.90657     2.81016  0.00150662
         579     2.90758     2.81033  0.00151339
         580     2.90858      2.8105  0.00152023
         581     2.90956     2.81067  0.00152714
         582     2.91052     2.81084  0.00153412
         583     2.91145     2.81102  0.00154117
         584     2.91236     2.81119  0.00154827
         585     2.91324     2.81137  0.00155542
         586      2.9141     2.81154  0.00156261
         587     2.91492     2.81172  0.00156984
         588     2.91571     2.81189   0.0015771
         589     2.91646     2.81207  0.00158439
         590     2.91718     2.81225  0.00159168
         591     2.91785     2.81243  0.00159899
         592     2.91849     2.81261  0.00160629
         593     2.91908     2.81279  0.00161359
         594     2.91962     2.81297  0.00162086
         595     2.92012     2.81315  0.00162811
         596     2.92057     2.81333  0.00163533
         597     2.92098     2.81351   0.0016425
         598     2.92133     2.81369  0.00164962
         599     2.92164     2.81387  0.00165668
         600     2.92189     2.81405  0.00166368
         601     2.92209     2.81423  0.00167059
         602     2.92224     2.81441  0.00167743
         603     2.92234     2.81459  0.00168417
         604     2.92238     2.81476  0.00169081
         605     2.92238     2.81494  0.00169734
         606     2.92232     2.81512  0.00170377
         607     2.92222      2.8153  0.00171007
         608     2.92206     2.81547  0.00171625
         609     2.92186     2.81565   0.0017223
         610     2.92161     2.81582  0.00172822
         611     2.92132     2.81599  0.00173399
         612     2.92098     2.81616  0.00173963
         613      2.9206     2.81633  0.00174511
         614     2.92018      2.8165  0.00175045
